Track_Name,Track_ID,URL,Artist(s),Album,Popularity,Duration,Tempo,Key,Mode,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveliness,Valence,Time_Signature,Common Genre
Casio,spotify:track:44ZKnfWEkp7wPs035j4Tua,https://open.spotify.com/track/44ZKnfWEkp7wPs035j4Tua,['Jungle'],For Ever,72,3.91,115.989,10,0,0.816,0.492,-7.464,0.0752,0.431,0.0896,0.0995,0.765,4,indietronica
Happy Man,spotify:track:1oSDiyNMslJoTCfUZBHNP2,https://open.spotify.com/track/1oSDiyNMslJoTCfUZBHNP2,['Jungle'],For Ever,70,3.19,108.017,9,0,0.594,0.516,-7.848,0.0316,0.198,2.91e-05,0.0736,0.154,4,indietronica
Little Dark Age,spotify:track:2Y0iGXY6m6immVb2ktbseM,https://open.spotify.com/track/2Y0iGXY6m6immVb2ktbseM,['MGMT'],Little Dark Age,82,5.0,97.512,6,1,0.705,0.712,-6.156,0.0385,0.0102,0.000855,0.1,0.62,4,indietronica
Kids,spotify:track:1jJci4qxiYcOHhQR247rEU,https://open.spotify.com/track/1jJci4qxiYcOHhQR247rEU,['MGMT'],Oracular Spectacular,79,5.05,122.961,9,1,0.451,0.931,-3.871,0.0719,0.00076,0.0049,0.361,0.172,4,indietronica
Electric Feel,spotify:track:3FtYbEfBqAlGO46NUDQSAt,https://open.spotify.com/track/3FtYbEfBqAlGO46NUDQSAt,['MGMT'],Oracular Spectacular,79,3.83,103.04,1,1,0.763,0.803,-3.713,0.0351,0.0709,0.285,0.348,0.561,3,indietronica
Time to Pretend,spotify:track:4iG2gAwKXsOcijVaVXzRPW,https://open.spotify.com/track/4iG2gAwKXsOcijVaVXzRPW,['MGMT'],Oracular Spectacular,74,4.35,100.99,2,1,0.438,0.94,-3.249,0.0452,8.74e-05,0.0777,0.3,0.421,3,indietronica
When You Die,spotify:track:3td69vL9Py7Ai9wfXYnvji,https://open.spotify.com/track/3td69vL9Py7Ai9wfXYnvji,['MGMT'],Little Dark Age,67,4.4,140.886,11,0,0.645,0.938,-4.557,0.0391,0.0946,0.0226,0.159,0.495,4,indietronica
There Is a Light That Never Goes Out - 2011 Remaster,spotify:track:0WQiDwKJclirSYG9v5tayI,https://open.spotify.com/track/0WQiDwKJclirSYG9v5tayI,['The Smiths'],The Queen Is Dead,82,4.08,136.162,4,1,0.523,0.769,-5.855,0.0269,0.04,0.0,0.136,0.876,4,new wave
This Charming Man - 2011 Remaster,spotify:track:1FvDJ9KGxcqwv1utyPL3JZ,https://open.spotify.com/track/1FvDJ9KGxcqwv1utyPL3JZ,['The Smiths'],The Smiths,80,2.72,103.912,11,1,0.611,0.846,-5.9,0.0436,0.00509,0.0,0.0784,0.751,4,new wave
This Night Has Opened My Eyes - 2011 Remaster,spotify:track:69Kzq3FMkDwiSFBQzRckFD,https://open.spotify.com/track/69Kzq3FMkDwiSFBQzRckFD,['The Smiths'],Hatful of Hollow,79,3.69,100.038,2,1,0.696,0.628,-8.407,0.0274,0.00102,0.428,0.272,0.701,4,new wave
